sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,offset_dexp,exp_0,knee,exp_1
695,9061,939,9.649627263045794,0.0057,0.0005,0.0052,284071.9366351272,2.260730122794783,0.8982211054362333,4.69283823248649,0.26988340969612773,1951.2008573055775,1.7800526832178472
696,9620,380,25.31578947368421,0.0049,0.0005,0.004399999999999999,288053.7618154154,1.9397559461699645,0.7380430536913585,4.895118783067656,0.1816456786283,5508.41756001153,1.9475806456460714
697,6225,3775,1.6490066225165563,0.0129,0.0007,0.0122,263716.1714730295,3.268590733921039,1.4096566539286632,4.323073610974244,0.2233675807645427,297.8987172260485,1.704437930990337
698,8492,1508,5.63129973474801,0.0065,0.0006,0.0059,277855.6321314792,2.5690772406858184,1.0624957892673033,4.677024144497566,0.3632931591719627,1111.6157230975111,1.6850085902544532
699,7716,2284,3.3782837127845884,0.0081,0.0006,0.0075,271921.03215631365,2.6848670321009567,1.1111740823030816,4.261849335651973,0.2808836774161474,356.13029368280365,1.60599312356094
700,9875,125,79.0,0.004700000000000001,0.0005,0.004200000000000001,290814.44326000934,1.9476592852505146,0.7420889447970804,4.903554912787197,0.07643951808999283,8980.436647382614,2.0570210489623677
701,259,9741,0.026588645929576018,0.0214,0.0015,0.019899999999999998,275729.5318304601,4.413126494972755,1.9576000210513609,5.233862816599731,0.24510064966834755,1010.3122388817907,2.124275687282858
702,146,9854,0.014816318246397403,0.0197,0.0015,0.018199999999999997,277322.86526129884,4.20984224843288,1.8438244748389119,5.280283660436698,0.28568326380198905,1054.9955182500764,2.1029247406570586
703,9713,287,33.84320557491289,0.0048000000000000004,0.0005,0.0043,287383.94185095065,1.9960554770099752,0.7714855720742192,4.915850192217125,0.17639210641471723,6096.054779275092,1.9615570713551242
704,9850,150,65.66666666666667,0.0048000000000000004,0.0005,0.0043,289628.9186851694,2.0021566581785204,0.7750467898021776,4.703615233447341,0.05071056104438457,5761.710753839683,2.0017764691290014
